Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,season,Name
46,46,2/11/2005,20-043,CLE,DEN,1,43:00:00,12,29,0.414,1,6,0.167,10,12,0.833,2,4,6,6,1,0,4,2,35,21.7,season_2,LJ
47,47,2/13/2005,20-045,CLE,LAL,1,46:00:00,8,20,0.4,0,0,,9,10,0.9,2,6,8,9,3,1,3,3,25,22.8,season_2,LJ
48,48,2/16/2005,20-048,CLE,ATL,1,37:00:00,11,20,0.55,2,2,1,4,5,0.8,0,5,5,6,3,0,3,0,28,23.7,season_2,LJ
49,49,2/17/2005,20-049,CLE,MIN,1,41:00:00,10,19,0.526,1,2,0.5,5,6,0.833,2,5,7,8,1,0,2,0,26,23.8,season_2,LJ
50,50,2/23/2005,20-055,CLE,CHI,1,44:00:00,8,17,0.471,1,1,1,10,15,0.667,1,5,6,11,5,0,3,2,27,27.4,season_2,LJ
51,51,2/25/2005,20-057,CLE,IND,1,41:00:00,9,25,0.36,0,1,0,3,4,0.75,3,4,7,5,2,1,2,0,21,14.2,season_2,LJ
52,52,2/27/2005,20-059,CLE,NJN,1,45:00:00,9,20,0.45,1,2,0.5,9,10,0.9,1,3,4,7,2,0,5,4,28,19.1,season_2,LJ
53,53,2/28/2005,20-060,CLE,SAS,1,45:00:00,6,22,0.273,1,4,0.25,7,10,0.7,1,7,8,7,0,0,2,3,20,10.3,season_2,LJ
54,54,3/2/2005,20-062,CLE,SEA,1,41:00:00,11,20,0.55,5,7,0.714,5,8,0.625,0,5,5,5,0,0,4,2,32,21.4,season_2,LJ
55,55,3/4/2005,20-064,CLE,PHI,1,40:00:00,12,21,0.571,0,1,0,10,12,0.833,1,6,7,7,4,0,6,1,34,28.3,season_2,LJ
56,56,3/6/2005,20-066,CLE,MIA,1,41:00:00,9,19,0.474,0,1,0,5,7,0.714,0,4,4,5,2,0,1,1,23,17.8,season_2,LJ
57,57,3/8/2005,20-068,CLE,ORL,1,40:00:00,9,22,0.409,2,6,0.333,3,4,0.75,0,7,7,8,1,1,1,3,23,18,season_2,LJ
58,58,3/13/2005,20-073,CLE,IND,1,44:00:00,12,23,0.522,1,5,0.2,10,11,0.909,2,3,5,5,1,0,4,1,35,25.7,season_2,LJ
59,59,3/15/2005,20-075,CLE,UTA,1,35:00:00,11,15,0.733,2,5,0.4,12,16,0.75,2,7,9,2,0,1,1,1,36,32.5,season_2,LJ
60,60,3/16/2005,20-076,CLE,MIL,1,45:00:00,13,26,0.5,4,9,0.444,4,7,0.571,1,6,7,6,1,0,5,0,34,22.5,season_2,LJ
61,61,3/18/2005,20-078,CLE,PHI,1,46:00:00,3,20,0.15,0,4,0,10,12,0.833,0,8,8,8,4,0,4,0,16,10.4,season_2,LJ
62,62,3/20/2005,20-080,CLE,TOR,1,48:00:00,18,36,0.5,6,12,0.5,14,15,0.933,2,8,10,5,2,0,4,0,56,42.9,season_2,LJ
63,63,3/22/2005,20-082,CLE,DET,1,43:00:00,11,24,0.458,2,7,0.286,5,8,0.625,1,5,6,6,1,0,0,1,29,22.4,season_2,LJ
64,64,3/24/2005,20-084,CLE,HOU,1,42:00:00,7,22,0.318,1,4,0.25,4,7,0.571,0,4,4,8,1,0,2,1,19,10.6,season_2,LJ
65,65,3/26/2005,20-086,CLE,DAL,1,36:00:00,7,17,0.412,0,2,0,5,6,0.833,1,3,4,6,0,0,3,1,19,11.9,season_2,LJ
66,66,3/28/2005,20-088,CLE,NOH,1,53:00:00,16,29,0.552,3,10,0.3,9,11,0.818,2,4,6,3,4,0,10,3,44,26.8,season_2,LJ
67,67,3/29/2005,20-089,CLE,LAC,1,41:00:00,7,20,0.35,2,8,0.25,6,7,0.857,0,7,7,5,2,1,1,0,22,17.7,season_2,LJ
68,68,3/31/2005,20-091,CLE,CHI,1,53:00:00,10,28,0.357,1,4,0.25,5,11,0.455,4,2,6,7,4,2,3,5,26,16.7,season_2,LJ
69,69,4/1/2005,20-092,CLE,SAC,1,44:00:00,13,21,0.619,2,4,0.5,7,10,0.7,0,8,8,9,2,0,7,2,35,27.2,season_2,LJ
70,70,4/3/2005,20-094,CLE,DAL,1,48:00:00,10,23,0.435,4,8,0.5,13,13,1,2,8,10,7,2,1,6,3,37,29.1,season_2,LJ
71,71,4/5/2005,20-096,CLE,NJN,1,40:00:00,9,19,0.474,3,6,0.5,3,6,0.5,2,7,9,4,2,2,6,2,24,16,season_2,LJ
72,72,4/6/2005,20-097,CLE,IND,1,33:00:00,9,18,0.5,0,3,0,2,4,0.5,2,2,4,3,1,0,2,2,20,12.5,season_2,LJ
73,73,4/8/2005,20-099,CLE,PHI,1,48:00:00,12,30,0.4,2,6,0.333,11,11,1,4,9,13,7,5,0,5,1,37,30.8,season_2,LJ
74,74,4/9/2005,20-100,CLE,MIL,1,47:00:00,15,26,0.577,7,13,0.538,3,3,1,1,9,10,10,2,1,3,2,40,37.1,season_2,LJ
75,75,4/11/2005,20-102,CLE,ORL,1,48:00:00,12,23,0.522,1,6,0.167,8,10,0.8,1,6,7,6,5,1,2,4,33,29.7,season_2,LJ
